CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V97424,165,0.008,0.039,4.62,0.65,0.069,0.045,325,46,1437,8,4,0.009
V97423,163,0.008,0.038,4.57,0.56,0.067,0.046,320,46,1456,9,4,0.01
V97421,161,0.008,0.038,4.56,0.446,0.066,0.047,326,47,1381,8,4,0.006
V97420,164,0.008,0.038,4.66,0.487,0.065,0.047,320,47,1394,9,4,0.005
V97419,174,0.008,0.027,4.73,0.66,0.078,0.05,263,37,,7,3,0.006
V97418,172,0.008,0.03,4.71,0.72,0.081,0.049,292,41,1384,8,4,0.006
V97416,174,0.008,0.03,4.55,0.531,0.072,0.05,290,40,,8,4,0.007
V97415,163,0.008,0.032,4.66,0.63,0.072,0.05,299,43,1445,8,3,0.006
V97414,160,0.008,0.028,4.72,0.56,0.074,0.051,274,40,1410,8,4,0.005
V97413,167,0.008,0.036,4.65,0.57,0.07,0.047,312,44,1425,8,4,0.006
V97412,163,0.008,0.035,4.72,0.63,0.071,0.049,319,45,1439,9,4,0.006
